order_id,step_k,term_id_added,rank_H,rank_Delta,rank_Nuisance,rank_Sigma,rank_Augmented,quotient_gain,delta_in_eta,marginal_rank_H,marginal_rank_Delta,marginal_rank_Nuisance,marginal_quotient_gain
random_16,19,t06,14,10,14,9,19,5,True,1,1,1,0
random_16,20,t11,14,10,14,9,20,6,True,0,0,0,1
random_16,21,t19,14,10,14,9,21,7,True,0,0,0,1
random_16,22,t12,14,10,14,9,22,8,True,0,0,0,1
random_16,23,t03,14,10,14,9,23,9,True,0,0,0,1
random_17,1,t09,1,0,1,1,1,0,True,1,0,1,0
random_17,2,t04,2,1,2,2,2,0,True,1,1,1,0
random_17,3,t03,3,2,3,3,3,0,True,1,1,1,0
random_17,4,t12,4,3,4,4,4,0,True,1,1,1,0
random_17,5,t11,5,4,5,4,5,0,True,1,1,1,0
random_17,6,t17,6,5,6,5,6,0,True,1,1,1,0
random_17,7,t16,7,5,7,6,7,0,True,1,0,1,0
random_17,8,t01,8,6,8,6,8,0,True,1,1,1,0
random_17,9,t08,9,7,9,7,9,0,True,1,1,1,0
random_17,10,t15,10,8,10,8,10,0,True,1,1,1,0
random_17,11,t02,11,8,11,9,11,0,True,1,0,1,0
random_17,12,t20,11,8,11,9,12,1,True,0,0,0,1
random_17,13,t06,11,8,11,9,13,2,True,0,0,0,1
random_17,14,t10,11,8,11,9,14,3,True,0,0,0,1
random_17,15,t14,12,9,12,9,15,3,True,1,1,1,0
random_17,16,t05,12,9,12,9,16,4,True,0,0,0,1
random_17,17,t07,12,9,12,9,17,5,True,0,0,0,1
random_17,18,t23,12,9,12,9,18,6,True,0,0,0,1
random_17,19,t19,13,10,13,9,19,6,True,1,1,1,0
random_17,20,t13,13,10,13,9,20,7,True,0,0,0,1
random_17,21,t22,14,10,14,9,21,7,True,1,0,1,0
