action_id,pi_rA,pi_shared,pi_cB,alpha_cycle_lengths,beta_cycle_lengths,fixed_projective_alpha_lines,fixed_projective_beta_lines,fixed_profile_classes,provenance
138,"(1, 2, 0)","(2, 1, 0)","(0, 1, 2)","[6, 3]","[2, 2, 2, 1, 1, 1]",5,377,1885,EXACT_DERIVED
139,"(1, 2, 0)","(2, 1, 0)","(0, 2, 1)","[6, 3]","[2, 2, 2, 1, 2]",5,161,805,EXACT_DERIVED
140,"(1, 2, 0)","(2, 1, 0)","(1, 0, 2)","[6, 3]","[2, 2, 2, 2, 1]",5,161,805,EXACT_DERIVED
141,"(1, 2, 0)","(2, 1, 0)","(1, 2, 0)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
142,"(1, 2, 0)","(2, 1, 0)","(2, 0, 1)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
143,"(1, 2, 0)","(2, 1, 0)","(2, 1, 0)","[6, 3]","[2, 2, 2, 2, 1]",5,161,805,EXACT_DERIVED
144,"(2, 0, 1)","(0, 1, 2)","(0, 1, 2)","[3, 3, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",13,9841,127933,EXACT_DERIVED
145,"(2, 0, 1)","(0, 1, 2)","(0, 2, 1)","[3, 3, 3]","[1, 2, 1, 2, 1, 2]",13,377,4901,EXACT_DERIVED
146,"(2, 0, 1)","(0, 1, 2)","(1, 0, 2)","[3, 3, 3]","[2, 1, 2, 1, 2, 1]",13,377,4901,EXACT_DERIVED
147,"(2, 0, 1)","(0, 1, 2)","(1, 2, 0)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
148,"(2, 0, 1)","(0, 1, 2)","(2, 0, 1)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
149,"(2, 0, 1)","(0, 1, 2)","(2, 1, 0)","[3, 3, 3]","[2, 1, 2, 1, 2, 1]",13,377,4901,EXACT_DERIVED
150,"(2, 0, 1)","(0, 2, 1)","(0, 1, 2)","[3, 6]","[1, 1, 1, 2, 2, 2]",5,377,1885,EXACT_DERIVED
151,"(2, 0, 1)","(0, 2, 1)","(0, 2, 1)","[3, 6]","[1, 2, 2, 2, 2]",5,161,805,EXACT_DERIVED
152,"(2, 0, 1)","(0, 2, 1)","(1, 0, 2)","[3, 6]","[2, 1, 2, 2, 2]",5,161,805,EXACT_DERIVED
153,"(2, 0, 1)","(0, 2, 1)","(1, 2, 0)","[3, 6]","[3, 6]",5,5,25,EXACT_DERIVED
154,"(2, 0, 1)","(0, 2, 1)","(2, 0, 1)","[3, 6]","[3, 6]",5,5,25,EXACT_DERIVED
155,"(2, 0, 1)","(0, 2, 1)","(2, 1, 0)","[3, 6]","[2, 1, 2, 2, 2]",5,161,805,EXACT_DERIVED
156,"(2, 0, 1)","(1, 0, 2)","(0, 1, 2)","[6, 3]","[2, 2, 2, 1, 1, 1]",5,377,1885,EXACT_DERIVED
157,"(2, 0, 1)","(1, 0, 2)","(0, 2, 1)","[6, 3]","[2, 2, 2, 1, 2]",5,161,805,EXACT_DERIVED
158,"(2, 0, 1)","(1, 0, 2)","(1, 0, 2)","[6, 3]","[2, 2, 2, 2, 1]",5,161,805,EXACT_DERIVED
159,"(2, 0, 1)","(1, 0, 2)","(1, 2, 0)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
160,"(2, 0, 1)","(1, 0, 2)","(2, 0, 1)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
161,"(2, 0, 1)","(1, 0, 2)","(2, 1, 0)","[6, 3]","[2, 2, 2, 2, 1]",5,161,805,EXACT_DERIVED
162,"(2, 0, 1)","(1, 2, 0)","(0, 1, 2)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
163,"(2, 0, 1)","(1, 2, 0)","(0, 2, 1)","[3, 3, 3]","[3, 6]",13,5,65,EXACT_DERIVED
164,"(2, 0, 1)","(1, 2, 0)","(1, 0, 2)","[3, 3, 3]","[6, 3]",13,5,65,EXACT_DERIVED
165,"(2, 0, 1)","(1, 2, 0)","(1, 2, 0)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
166,"(2, 0, 1)","(1, 2, 0)","(2, 0, 1)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
167,"(2, 0, 1)","(1, 2, 0)","(2, 1, 0)","[3, 3, 3]","[6, 3]",13,5,65,EXACT_DERIVED
168,"(2, 0, 1)","(2, 0, 1)","(0, 1, 2)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
169,"(2, 0, 1)","(2, 0, 1)","(0, 2, 1)","[3, 3, 3]","[3, 6]",13,5,65,EXACT_DERIVED
170,"(2, 0, 1)","(2, 0, 1)","(1, 0, 2)","[3, 3, 3]","[6, 3]",13,5,65,EXACT_DERIVED
171,"(2, 0, 1)","(2, 0, 1)","(1, 2, 0)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
