orbit_A,orbit_B,compatible,total_pairs,output_orbits,deterministic,stab_type_A,stab_type_B,stab_type_out,output_counts
6,179,False,0,[],False,Z2xZ2,Z2,[],{}
6,185,False,0,[],False,Z2xZ2,Z2,[],{}
6,191,False,0,[],False,Z2xZ2,Z2,[],{}
6,197,False,0,[],False,Z2xZ2,Z2,[],{}
6,215,False,0,[],False,Z2xZ2,Z2,[],{}
6,296,False,0,[],False,Z2xZ2,Trivial,[],{}
6,350,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,354,False,0,[],False,Z2xZ2,Z2,[],{}
6,360,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,370,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,380,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,390,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,394,False,0,[],False,Z2xZ2,Z2,[],{}
6,400,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,410,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,420,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,430,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,434,False,0,[],False,Z2xZ2,Z2,[],{}
6,440,False,0,[],False,Z2xZ2,Z2,[],{}
6,500,False,0,[],False,Z2xZ2,Z2,[],{}
6,560,False,0,[],False,Z2xZ2,Z2,[],{}
6,980,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,982,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,984,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,986,False,0,[],False,Z2xZ2,Z2,[],{}
6,995,False,0,[],False,Z2xZ2,Z2,[],{}
6,1010,False,0,[],False,Z2xZ2,Z2,[],{}
6,1025,False,0,[],False,Z2xZ2,Z2,[],{}
6,1031,False,0,[],False,Z2xZ2,Trivial,[],{}
6,1040,False,0,[],False,Z2xZ2,Z2,[],{}
6,1055,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,1057,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,1059,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,1100,False,0,[],False,Z2xZ2,Z2,[],{}
6,1130,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,1132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,1134,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,1175,False,0,[],False,Z2xZ2,Z2,[],{}
10,0,False,0,[],False,Z2xZ2,(Z2)^3,[],{}
10,1,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,2,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,4,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,5,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,6,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,10,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,20,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,30,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,34,False,0,[],False,Z2xZ2,Z2,[],{}
10,40,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,50,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,52,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,54,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,95,False,0,[],False,Z2xZ2,Z2,[],{}
10,125,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,126,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,127,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,131,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,133,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,137,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,138,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,139,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
10,143,False,0,[],False,Z2xZ2,Z2,[],{}
10,161,False,0,[],False,Z2xZ2,Z2,[],{}
10,179,False,0,[],False,Z2xZ2,Z2,[],{}
10,185,False,0,[],False,Z2xZ2,Z2,[],{}
10,191,False,0,[],False,Z2xZ2,Z2,[],{}
10,197,False,0,[],False,Z2xZ2,Z2,[],{}
10,215,False,0,[],False,Z2xZ2,Z2,[],{}
10,296,False,0,[],False,Z2xZ2,Trivial,[],{}
10,350,True,54,[0],True,Z2xZ2,Z2xZ2,['(Z2)^3'],{0: 54}
10,354,True,108,[4],True,Z2xZ2,Z2,['Z2xZ2'],{4: 108}
