search_family,removed_term,covered_output_columns,exact,provenance,field,rank_tested,restart
,,0,False,MEASURED_FROM_CODE,GF(3),22,148
,,0,False,MEASURED_FROM_CODE,GF(3),22,149
,,0,False,MEASURED_FROM_CODE,GF(3),22,150
,,0,False,MEASURED_FROM_CODE,GF(3),22,151
,,0,False,MEASURED_FROM_CODE,GF(3),22,152
,,0,False,MEASURED_FROM_CODE,GF(3),22,153
,,0,False,MEASURED_FROM_CODE,GF(3),22,154
,,0,False,MEASURED_FROM_CODE,GF(3),22,155
,,0,False,MEASURED_FROM_CODE,GF(3),22,156
,,0,False,MEASURED_FROM_CODE,GF(3),22,157
,,0,False,MEASURED_FROM_CODE,GF(3),22,158
,,0,False,MEASURED_FROM_CODE,GF(3),22,159
,,0,False,MEASURED_FROM_CODE,GF(3),22,160
,,0,False,MEASURED_FROM_CODE,GF(3),22,161
,,0,False,MEASURED_FROM_CODE,GF(3),22,162
,,0,False,MEASURED_FROM_CODE,GF(3),22,163
,,0,False,MEASURED_FROM_CODE,GF(3),22,164
,,0,False,MEASURED_FROM_CODE,GF(3),22,165
,,0,False,MEASURED_FROM_CODE,GF(3),22,166
,,0,False,MEASURED_FROM_CODE,GF(3),22,167
,,0,False,MEASURED_FROM_CODE,GF(3),22,168
,,0,False,MEASURED_FROM_CODE,GF(3),22,169
,,0,False,MEASURED_FROM_CODE,GF(3),22,170
,,0,False,MEASURED_FROM_CODE,GF(3),22,171
,,0,False,MEASURED_FROM_CODE,GF(3),22,172
,,0,False,MEASURED_FROM_CODE,GF(3),22,173
,,0,False,MEASURED_FROM_CODE,GF(3),22,174
,,0,False,MEASURED_FROM_CODE,GF(3),22,175
,,0,False,MEASURED_FROM_CODE,GF(3),22,176
,,0,False,MEASURED_FROM_CODE,GF(3),22,177
,,0,False,MEASURED_FROM_CODE,GF(3),22,178
,,0,False,MEASURED_FROM_CODE,GF(3),22,179
,,0,False,MEASURED_FROM_CODE,GF(3),22,180
,,0,False,MEASURED_FROM_CODE,GF(3),22,181
,,0,False,MEASURED_FROM_CODE,GF(3),22,182
,,0,False,MEASURED_FROM_CODE,GF(3),22,183
,,0,False,MEASURED_FROM_CODE,GF(3),22,184
,,0,False,MEASURED_FROM_CODE,GF(3),22,185
,,0,False,MEASURED_FROM_CODE,GF(3),22,186
,,0,False,MEASURED_FROM_CODE,GF(3),22,187
,,0,False,MEASURED_FROM_CODE,GF(3),22,188
,,0,False,MEASURED_FROM_CODE,GF(3),22,189
,,0,False,MEASURED_FROM_CODE,GF(3),22,190
,,0,False,MEASURED_FROM_CODE,GF(3),22,191
,,0,False,MEASURED_FROM_CODE,GF(3),22,192
,,0,False,MEASURED_FROM_CODE,GF(3),22,193
,,0,False,MEASURED_FROM_CODE,GF(3),22,194
,,0,False,MEASURED_FROM_CODE,GF(3),22,195
,,0,False,MEASURED_FROM_CODE,GF(3),22,196
,,0,False,MEASURED_FROM_CODE,GF(3),22,197
,,0,False,MEASURED_FROM_CODE,GF(3),22,198
,,0,False,MEASURED_FROM_CODE,GF(3),22,199
,,0,False,MEASURED_FROM_CODE,GF(3),22,200
,,0,False,MEASURED_FROM_CODE,GF(3),22,201
,,0,False,MEASURED_FROM_CODE,GF(3),22,202
,,0,False,MEASURED_FROM_CODE,GF(3),22,203
,,0,False,MEASURED_FROM_CODE,GF(3),22,204
,,0,False,MEASURED_FROM_CODE,GF(3),22,205
,,0,False,MEASURED_FROM_CODE,GF(3),22,206
,,0,False,MEASURED_FROM_CODE,GF(3),22,207
,,0,False,MEASURED_FROM_CODE,GF(3),22,208
,,0,False,MEASURED_FROM_CODE,GF(3),22,209
,,0,False,MEASURED_FROM_CODE,GF(3),22,210
,,0,False,MEASURED_FROM_CODE,GF(3),22,211
,,0,False,MEASURED_FROM_CODE,GF(3),22,212
,,0,False,MEASURED_FROM_CODE,GF(3),22,213
,,0,False,MEASURED_FROM_CODE,GF(3),22,214
,,0,False,MEASURED_FROM_CODE,GF(3),22,215
,,0,False,MEASURED_FROM_CODE,GF(3),22,216
,,0,False,MEASURED_FROM_CODE,GF(3),22,217
,,0,False,MEASURED_FROM_CODE,GF(3),22,218
,,0,False,MEASURED_FROM_CODE,GF(3),22,219
,,0,False,MEASURED_FROM_CODE,GF(3),22,220
,,0,False,MEASURED_FROM_CODE,GF(3),22,221
,,0,False,MEASURED_FROM_CODE,GF(3),22,222
,,0,False,MEASURED_FROM_CODE,GF(3),22,223
,,0,False,MEASURED_FROM_CODE,GF(3),22,224
,,0,False,MEASURED_FROM_CODE,GF(3),22,225
