comm_term,anti_term,max_abs_difference_after_normalization,normalized_dot_product,abs_normalized_dot_product,comm_scale,anti_scale,matched_rank1_term,cancels_in_half_sum_if_matched,provenance
c04,s07,3.3377531746926603e-01,1.5346580239358677e-02,1.5346580239358677e-02,5.7422442791912021e+00,2.5659582297407053e+00,False,False,EXACT_DERIVED
c04,s08,8.8372206301550649e-01,1.5472686691860467e-03,1.5472686691860467e-03,5.7422442791912021e+00,2.1925846888267437e+00,False,False,EXACT_DERIVED
c04,s09,2.6901577159359352e-01,-6.8876342011038672e-03,6.8876342011038672e-03,5.7422442791912021e+00,-2.7277522670412999e+00,False,False,EXACT_DERIVED
c04,s10,3.7176061738828620e-01,-4.1152759362447725e-03,4.1152759362447725e-03,5.7422442791912021e+00,3.9539790864854716e+00,False,False,EXACT_DERIVED
c04,s11,3.8521018756735326e-01,-6.5567527735540792e-03,6.5567527735540792e-03,5.7422442791912021e+00,2.3108509513644933e+00,False,False,EXACT_DERIVED
c04,s12,2.8003744670357217e-01,-1.1158898943961186e-01,1.1158898943961186e-01,5.7422442791912021e+00,-4.2274508949232361e+00,False,False,EXACT_DERIVED
c04,s13,3.3736082845517512e-01,1.2734392669485214e-01,1.2734392669485214e-01,5.7422442791912021e+00,-3.0072642167418633e+00,False,False,EXACT_DERIVED
c04,s14,2.6075873763104140e-01,5.5560577556446776e-03,5.5560577556446776e-03,5.7422442791912021e+00,2.1743933446146309e+00,False,False,EXACT_DERIVED
c04,s15,2.3653759888653308e-01,-3.0982247683254343e-02,3.0982247683254343e-02,5.7422442791912021e+00,3.7203382834740637e+00,False,False,EXACT_DERIVED
c04,s16,4.9775141243311549e-01,1.0970717224398402e-03,1.0970717224398402e-03,5.7422442791912021e+00,-2.4555552594339427e+00,False,False,EXACT_DERIVED
c04,s17,2.7668176538351902e-01,1.5283830139977366e-04,1.5283830139977366e-04,5.7422442791912021e+00,-3.3112592114150203e+00,False,False,EXACT_DERIVED
c04,s18,2.7972166118199993e-01,3.6264667337498932e-02,3.6264667337498932e-02,5.7422442791912021e+00,-3.8689415030055607e+00,False,False,EXACT_DERIVED
c04,s19,3.2784503914631646e-01,1.4866062706449383e-02,1.4866062706449383e-02,5.7422442791912021e+00,-3.1397060552277192e+00,False,False,EXACT_DERIVED
c05,s01,3.1484884788139800e-01,4.5489336150757627e-02,4.5489336150757627e-02,5.2617925254628748e+00,3.0909200616253676e+00,False,False,EXACT_DERIVED
