case_id,track,seed,support_signature,nnz_alpha,nnz_beta,nnz_gamma,status,viable,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,independent_variable_rank,dropped_variable_count,fixed_gauge_count,gamma_union_size,alpha_union_size,beta_union_size,full_gamma_coverage,unique_gamma_support_count,error
step83b_track2_screen_0793,track2_screen,8302793,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,73.83652159410106,8.476650996830477,52.07702630823886,133,0,38,9,9,9,True,11,
step83b_track2_screen_0794,track2_screen,8302794,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,240.61054498542973,9.804862792391368,64.96378487858239,171,0,38,9,9,9,True,17,
step83b_track2_screen_0795,track2_screen,8302795,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,115.30201756681272,11.621258721445546,67.11862776880238,152,0,38,9,9,9,True,17,
step83b_track2_screen_0796,track2_screen,8302796,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,112.42172277944698,11.717792856972611,61.040193814380395,152,0,38,9,9,9,True,18,
step83b_track2_screen_0797,track2_screen,8302797,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,291.2484637105571,11.000121037903995,77.7447401859418,190,0,38,9,9,9,True,19,
step83b_track2_screen_0798,track2_screen,8302798,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,156.00179250747303,9.7454562850371,51.98469940737643,152,0,38,9,9,9,True,13,
step83b_track2_screen_0799,track2_screen,8302799,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,102.73433584205908,10.190493130560217,48.34051875663421,133,0,38,9,9,9,True,18,
step83b_track2_screen_0800,track2_screen,8302800,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,109.32107077064941,10.394677146667807,72.96395877610965,171,0,38,9,9,9,True,18,
step83b_track2_screen_0801,track2_screen,8302801,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,100.24671363029731,11.238971530161196,59.08667431378041,152,0,38,9,9,9,True,17,
step83b_track2_screen_0802,track2_screen,8302802,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,79.38792114046292,7.820026807521661,57.02993321357089,152,0,38,9,9,9,True,18,
step83b_track2_screen_0803,track2_screen,8302803,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,190.69393634041245,12.609357496160857,78.88864820252384,190,0,38,9,9,9,True,18,
step83b_track2_screen_0804,track2_screen,8302804,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,101.28110172182761,7.189181826509895,47.86894486896103,152,0,38,9,9,9,True,15,
step83b_track2_screen_0805,track2_screen,8302805,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,49.67868077696388,8.938833281595516,53.84502394205246,133,0,38,9,9,9,True,17,
step83b_track2_screen_0806,track2_screen,8302806,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,216.82112510750673,12.087517667864747,63.870738520525514,171,0,38,9,9,9,True,17,
step83b_track2_screen_0807,track2_screen,8302807,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,109.88676011716846,10.908156261939313,58.79840470349932,152,0,38,9,9,9,True,15,
step83b_track2_screen_0808,track2_screen,8302808,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,52.817275010596305,9.07728419828113,64.66695891300722,152,0,38,9,9,9,True,19,
step83b_track2_screen_0809,track2_screen,8302809,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,178.4158264551231,11.821875767021389,84.1445930188956,190,0,38,9,9,9,True,19,
step83b_track2_screen_0810,track2_screen,8302810,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,88.68012071854363,8.207077249394331,60.12236050513448,152,0,38,9,9,9,True,13,
step83b_track2_screen_0811,track2_screen,8302811,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,107.8621646594421,9.123348851909741,65.87330832138083,133,0,38,9,9,9,True,18,
step83b_track2_screen_0812,track2_screen,8302812,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,149.96215912569045,12.679841990533706,72.48581810921924,171,0,38,9,9,9,True,16,
step83b_track2_screen_0813,track2_screen,8302813,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,179.9958756516092,9.58478836313728,60.570007656510356,152,0,38,9,9,9,True,19,
step83b_track2_screen_0814,track2_screen,8302814,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,103.28977781261241,8.288489638931255,59.971749529014,152,0,38,9,9,9,True,16,
step83b_track2_screen_0815,track2_screen,8302815,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,166.752073052581,13.137361475289238,85.73780488365281,190,0,38,9,9,9,True,17,
