closure_step,A_orbit,B_orbit,A_stab_type,B_stab_type,total_pairs,output_inside_set,output_outside_set,output_orbit_ids,output_counts
1,5,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
1,6,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,10,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,20,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,34,Z2xZ2,Z2,0,0,0,[],{}
1,6,40,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,95,Z2xZ2,Z2,0,0,0,[],{}
1,6,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,127,Z2xZ2,Z2xZ2,54,54,0,[1],{1: 54}
1,6,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,133,Z2xZ2,Z2xZ2,54,54,0,[6],{6: 54}
1,6,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,139,Z2xZ2,Z2xZ2,54,54,0,[5],{5: 54}
1,6,143,Z2xZ2,Z2,0,0,0,[],{}
1,6,161,Z2xZ2,Z2,0,0,0,[],{}
1,6,179,Z2xZ2,Z2,0,0,0,[],{}
1,6,197,Z2xZ2,Z2,0,0,0,[],{}
1,6,215,Z2xZ2,Z2,0,0,0,[],{}
1,6,350,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,354,Z2xZ2,Z2,0,0,0,[],{}
1,6,360,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,370,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,380,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,390,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,394,Z2xZ2,Z2,0,0,0,[],{}
1,6,400,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,410,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,420,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,430,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,434,Z2xZ2,Z2,0,0,0,[],{}
1,6,440,Z2xZ2,Z2,0,0,0,[],{}
1,6,500,Z2xZ2,Z2,0,0,0,[],{}
1,6,560,Z2xZ2,Z2,0,0,0,[],{}
1,6,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,986,Z2xZ2,Z2,0,0,0,[],{}
1,6,995,Z2xZ2,Z2,0,0,0,[],{}
1,6,1010,Z2xZ2,Z2,0,0,0,[],{}
1,6,1025,Z2xZ2,Z2,0,0,0,[],{}
1,6,1040,Z2xZ2,Z2,0,0,0,[],{}
1,6,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,6,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
1,10,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,10,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,20,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,34,Z2xZ2,Z2,0,0,0,[],{}
1,10,40,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,95,Z2xZ2,Z2,0,0,0,[],{}
1,10,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,143,Z2xZ2,Z2,0,0,0,[],{}
1,10,161,Z2xZ2,Z2,0,0,0,[],{}
1,10,179,Z2xZ2,Z2,0,0,0,[],{}
1,10,197,Z2xZ2,Z2,0,0,0,[],{}
1,10,215,Z2xZ2,Z2,0,0,0,[],{}
1,10,350,Z2xZ2,Z2xZ2,54,54,0,[0],{0: 54}
1,10,354,Z2xZ2,Z2,108,108,0,[4],{4: 108}
1,10,360,Z2xZ2,Z2xZ2,54,54,0,[10],{10: 54}
1,10,370,Z2xZ2,Z2xZ2,54,54,0,[10],{10: 54}
1,10,380,Z2xZ2,Z2xZ2,54,54,0,[20],{20: 54}
1,10,390,Z2xZ2,Z2xZ2,54,54,0,[30],{30: 54}
1,10,394,Z2xZ2,Z2,108,108,0,[34],{34: 108}
1,10,400,Z2xZ2,Z2xZ2,54,54,0,[40],{40: 54}
1,10,410,Z2xZ2,Z2xZ2,54,54,0,[20],{20: 54}
1,10,420,Z2xZ2,Z2xZ2,54,54,0,[40],{40: 54}
1,10,430,Z2xZ2,Z2xZ2,54,54,0,[30],{30: 54}
1,10,434,Z2xZ2,Z2,108,108,0,[34],{34: 108}
1,10,440,Z2xZ2,Z2,108,108,0,[50],{50: 108}
1,10,500,Z2xZ2,Z2,108,108,0,[95],{95: 108}
1,10,560,Z2xZ2,Z2,108,108,0,[95],{95: 108}
1,10,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,986,Z2xZ2,Z2,0,0,0,[],{}
1,10,995,Z2xZ2,Z2,0,0,0,[],{}
1,10,1010,Z2xZ2,Z2,0,0,0,[],{}
1,10,1025,Z2xZ2,Z2,0,0,0,[],{}
1,10,1040,Z2xZ2,Z2,0,0,0,[],{}
1,10,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,10,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
1,20,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,10,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,20,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,34,Z2xZ2,Z2,0,0,0,[],{}
1,20,40,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,20,95,Z2xZ2,Z2,0,0,0,[],{}
