case_id,dropped_terms,retained_term_count,status,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,error,provenance
step83_t03_t09_t11_t22,t03;t09;t11;t22,19,screened_ok,99,96,96,1.1839056857576928e+02,1.0000000000000000e+00,4.7958315233127191e+00,,MEASURED_FROM_CODE
step83_t03_t09_t12_t15,t03;t09;t12;t15,19,screened_ok,95,95,95,1.3063602969864027e+02,1.0000000000000000e+00,5.4772255750516612e+00,,MEASURED_FROM_CODE
step83_t03_t09_t12_t17,t03;t09;t12;t17,19,screened_ok,99,97,97,1.4044909315227747e+02,1.0000000000000000e+00,4.4721359549995796e+00,,MEASURED_FROM_CODE
step83_t03_t09_t12_t22,t03;t09;t12;t22,19,screened_ok,100,97,97,1.3740161166777946e+02,1.0000000000000000e+00,4.3588989435406740e+00,,MEASURED_FROM_CODE
step83_t03_t09_t15_t17,t03;t09;t15;t17,19,screened_ok,98,98,98,9.9648948737643650e+01,1.0000000000000000e+00,4.6904157598234297e+00,,MEASURED_FROM_CODE
step83_t03_t09_t15_t22,t03;t09;t15;t22,19,screened_ok,99,99,99,1.0358809371422001e+02,1.0000000000000000e+00,4.7958315233127191e+00,,MEASURED_FROM_CODE
step83_t03_t09_t17_t22,t03;t09;t17;t22,19,screened_ok,103,100,100,2.0588680595667870e+02,1.0000000000000000e+00,3.6055512754639891e+00,,MEASURED_FROM_CODE
step83_t03_t10_t11_t12,t03;t10;t11;t12,19,screened_ok,92,89,89,1.0398236839525430e+02,1.0000000000000000e+00,6.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t03_t10_t11_t15,t03;t10;t11;t15,19,screened_ok,91,91,91,1.0994726880426279e+02,1.0000000000000000e+00,6.3245553203367590e+00,,MEASURED_FROM_CODE
step83_t03_t10_t11_t17,t03;t10;t11;t17,19,screened_ok,95,93,93,1.0577880777609781e+02,1.0000000000000000e+00,5.4772255750516612e+00,,MEASURED_FROM_CODE
step83_t03_t10_t11_t22,t03;t10;t11;t22,19,screened_ok,96,93,93,1.0464287408313186e+02,1.0000000000000000e+00,5.3851648071345037e+00,,MEASURED_FROM_CODE
step83_t03_t10_t12_t15,t03;t10;t12;t15,19,screened_ok,92,92,92,1.3160875050096351e+02,1.0000000000000000e+00,6.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t03_t10_t12_t17,t03;t10;t12;t17,19,screened_ok,96,94,94,1.2545082877505716e+02,1.0000000000000000e+00,5.0990195135927845e+00,,MEASURED_FROM_CODE
step83_t03_t10_t12_t22,t03;t10;t12;t22,19,screened_ok,97,94,94,1.2553958461679660e+02,1.0000000000000000e+00,5.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t03_t10_t15_t17,t03;t10;t15;t17,19,screened_ok,95,94,94,1.3561797333658447e+02,1.0000000000000000e+00,5.2915026221291814e+00,,MEASURED_FROM_CODE
step83_t03_t10_t15_t22,t03;t10;t15;t22,19,screened_ok,96,95,95,1.1673927889570740e+02,1.0000000000000000e+00,5.3851648071345037e+00,,MEASURED_FROM_CODE
