profile_orbit_id,canonical_profile,profile_matrix,cxxc_orbit0_support,cxxc_orbit30_support,support_pair_count,max_fiber_activation,nonzero_fibers,fibers_with_0,fibers_with_1,fibers_with_2,fibers_with_3,sample_a_support,sample_b_support,is_generic_full_support_profile
273,"(0, 0, 2, 0, 1, 3, 0, 1, 3)","[[0, 0, 2], [0, 1, 3], [0, 1, 3]]",10,7,54,3,5,4,2,1,2,111/111/110,100/100/110,False
274,"(0, 0, 2, 1, 1, 0, 1, 1, 0)","[[0, 0, 2], [1, 1, 0], [1, 1, 0]]",6,1,27,2,5,4,4,1,0,011/100/100,011/100/100,False
275,"(0, 0, 2, 1, 1, 0, 1, 1, 1)","[[0, 0, 2], [1, 1, 0], [1, 1, 1]]",7,1,108,2,6,3,5,1,0,011/110/100,011/100/100,False
276,"(0, 0, 2, 1, 1, 0, 1, 1, 2)","[[0, 0, 2], [1, 1, 0], [1, 1, 2]]",8,2,54,2,6,3,4,2,0,111/011/100,011/100/100,False
277,"(0, 0, 2, 1, 1, 1, 1, 1, 1)","[[0, 0, 2], [1, 1, 1], [1, 1, 1]]",8,1,135,2,7,2,6,1,0,011/100/100,111/100/100,False
278,"(0, 0, 2, 1, 1, 1, 1, 1, 2)","[[0, 0, 2], [1, 1, 1], [1, 1, 2]]",9,2,216,2,7,2,5,2,0,011/110/100,111/100/100,False
279,"(0, 0, 2, 1, 1, 1, 1, 1, 3)","[[0, 0, 2], [1, 1, 1], [1, 1, 3]]",10,4,54,3,7,2,5,1,1,111/011/100,111/100/100,False
280,"(0, 0, 2, 1, 1, 2, 1, 1, 2)","[[0, 0, 2], [1, 1, 2], [1, 1, 2]]",10,3,135,2,7,2,4,3,0,101/110/110,100/111/100,False
281,"(0, 0, 2, 1, 1, 2, 1, 1, 3)","[[0, 0, 2], [1, 1, 2], [1, 1, 3]]",11,5,108,3,7,2,4,2,1,111/101/110,100/111/100,False
282,"(0, 0, 2, 1, 1, 3, 1, 1, 3)","[[0, 0, 2], [1, 1, 3], [1, 1, 3]]",12,7,27,3,7,2,4,1,2,111/111/110,100/100/111,False
283,"(0, 0, 3, 0, 0, 3, 0, 0, 3)","[[0, 0, 3], [0, 0, 3], [0, 0, 3]]",9,9,3,3,3,6,0,0,3,111/111/111,100/100/100,False
284,"(0, 1, 1, 0, 1, 1, 0, 1, 1)","[[0, 1, 1], [0, 1, 1], [0, 1, 1]]",6,0,3339,1,6,3,6,0,0,100/100/100,110/000/000,False
285,"(0, 1, 1, 0, 1, 1, 0, 1, 2)","[[0, 1, 1], [0, 1, 1], [0, 1, 2]]",7,1,2484,2,6,3,5,1,0,110/100/100,110/100/000,False
286,"(0, 1, 1, 0, 1, 1, 0, 1, 3)","[[0, 1, 1], [0, 1, 1], [0, 1, 3]]",8,3,54,3,6,3,5,0,1,111/100/100,110/100/100,False
287,"(0, 1, 1, 0, 1, 1, 0, 2, 2)","[[0, 1, 1], [0, 1, 1], [0, 2, 2]]",8,2,1971,2,6,3,4,2,0,110/100/100,110/110/000,False
288,"(0, 1, 1, 0, 1, 1, 0, 2, 3)","[[0, 1, 1], [0, 1, 1], [0, 2, 3]]",9,4,216,3,6,3,4,1,1,111/100/100,110/110/100,False
289,"(0, 1, 1, 0, 1, 1, 0, 3, 3)","[[0, 1, 1], [0, 1, 1], [0, 3, 3]]",10,6,81,3,6,3,4,0,2,111/100/100,110/110/110,False
290,"(0, 1, 1, 0, 1, 1, 1, 0, 1)","[[0, 1, 1], [0, 1, 1], [1, 0, 1]]",6,0,2052,1,6,3,6,0,0,010/100/100,101/110/000,False
291,"(0, 1, 1, 0, 1, 1, 1, 0, 2)","[[0, 1, 1], [0, 1, 1], [1, 0, 2]]",7,1,216,2,6,3,5,1,0,011/100/100,101/110/100,False
292,"(0, 1, 1, 0, 1, 1, 1, 1, 1)","[[0, 1, 1], [0, 1, 1], [1, 1, 1]]",7,0,2160,1,7,2,7,0,0,010/100/100,110/111/000,False
293,"(0, 1, 1, 0, 1, 1, 1, 1, 2)","[[0, 1, 1], [0, 1, 1], [1, 1, 2]]",8,1,2376,2,7,2,6,1,0,110/100/100,101/110/000,False
294,"(0, 1, 1, 0, 1, 1, 1, 1, 3)","[[0, 1, 1], [0, 1, 1], [1, 1, 3]]",9,3,108,3,7,2,6,0,1,111/100/100,101/110/100,False
295,"(0, 1, 1, 0, 1, 1, 1, 2, 2)","[[0, 1, 1], [0, 1, 1], [1, 2, 2]]",9,2,1242,2,7,2,5,2,0,110/100/100,110/111/000,False
296,"(0, 1, 1, 0, 1, 1, 1, 2, 3)","[[0, 1, 1], [0, 1, 1], [1, 2, 3]]",10,4,324,3,7,2,5,1,1,111/100/100,110/111/100,False
297,"(0, 1, 1, 0, 1, 1, 1, 3, 3)","[[0, 1, 1], [0, 1, 1], [1, 3, 3]]",11,6,108,3,7,2,5,0,2,111/100/100,110/111/110,False
298,"(0, 1, 1, 0, 1, 1, 2, 0, 1)","[[0, 1, 1], [0, 1, 1], [2, 0, 1]]",7,1,108,2,6,3,5,1,0,011/100/100,011/110/100,False
299,"(0, 1, 1, 0, 1, 1, 2, 0, 2)","[[0, 1, 1], [0, 1, 1], [2, 0, 2]]",8,2,54,2,6,3,4,2,0,011/100/100,101/110/110,False
300,"(0, 1, 1, 0, 1, 1, 2, 1, 1)","[[0, 1, 1], [0, 1, 1], [2, 1, 1]]",8,1,135,2,7,2,6,1,0,011/100/100,011/111/100,False
301,"(0, 1, 1, 0, 1, 1, 2, 1, 2)","[[0, 1, 1], [0, 1, 1], [2, 1, 2]]",9,2,216,2,7,2,5,2,0,011/100/100,101/111/110,False
302,"(0, 1, 1, 0, 1, 1, 2, 1, 3)","[[0, 1, 1], [0, 1, 1], [2, 1, 3]]",10,4,54,3,7,2,5,1,1,111/100/100,101/110/110,False
303,"(0, 1, 1, 0, 1, 1, 2, 2, 2)","[[0, 1, 1], [0, 1, 1], [2, 2, 2]]",10,3,135,2,7,2,4,3,0,011/100/100,110/111/111,False
304,"(0, 1, 1, 0, 1, 1, 2, 2, 3)","[[0, 1, 1], [0, 1, 1], [2, 2, 3]]",11,5,108,3,7,2,4,2,1,111/100/100,101/111/110,False
305,"(0, 1, 1, 0, 1, 1, 2, 3, 3)","[[0, 1, 1], [0, 1, 1], [2, 3, 3]]",12,7,27,3,7,2,4,1,2,111/100/100,110/111/111,False
306,"(0, 1, 1, 0, 1, 2, 0, 1, 2)","[[0, 1, 1], [0, 1, 2], [0, 1, 2]]",8,2,2268,2,6,3,4,2,0,110/110/100,110/100/000,False
307,"(0, 1, 1, 0, 1, 2, 0, 1, 3)","[[0, 1, 1], [0, 1, 2], [0, 1, 3]]",9,4,216,3,6,3,4,1,1,111/110/100,110/100/100,False
308,"(0, 1, 1, 0, 1, 2, 0, 2, 1)","[[0, 1, 1], [0, 1, 2], [0, 2, 1]]",8,2,216,2,6,3,4,2,0,101/110/100,110/010/100,False
309,"(0, 1, 1, 0, 1, 2, 0, 2, 2)","[[0, 1, 1], [0, 1, 2], [0, 2, 2]]",9,3,864,2,6,3,3,3,0,101/110/100,110/110/100,False
310,"(0, 1, 1, 0, 1, 2, 0, 2, 3)","[[0, 1, 1], [0, 1, 2], [0, 2, 3]]",10,5,432,3,6,3,3,2,1,111/110/100,110/100/110,False
311,"(0, 1, 1, 0, 1, 2, 1, 0, 1)","[[0, 1, 1], [0, 1, 2], [1, 0, 1]]",7,1,432,2,6,3,5,1,0,101/010/100,101/110/100,False
