schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size,signature_key,row_pattern,channel_pattern,col_pattern
LLL,61,265,"LLL[L[0,0,0],L[1,0,0],L[2,1,1]]",216,1,"rows=(0, 1, 2); channels=(0, 0, 1); cols=(0, 0, 1)","(0, 1, 2)","(0, 0, 1)","(0, 0, 1)"
LLL,62,270,"LLL[L[0,0,0],L[1,0,1],L[0,0,0]]",108,2,"rows=(0, 1, 0); channels=(0, 0, 0); cols=(0, 1, 0)","(0, 1, 0)","(0, 0, 0)","(0, 1, 0)"
LLL,63,271,"LLL[L[0,0,0],L[1,0,1],L[0,0,1]]",108,2,"rows=(0, 1, 0); channels=(0, 0, 0); cols=(0, 1, 1)","(0, 1, 0)","(0, 0, 0)","(0, 1, 1)"
LLL,64,272,"LLL[L[0,0,0],L[1,0,1],L[0,0,2]]",108,2,"rows=(0, 1, 0); channels=(0, 0, 0); cols=(0, 1, 2)","(0, 1, 0)","(0, 0, 0)","(0, 1, 2)"
LLL,65,273,"LLL[L[0,0,0],L[1,0,1],L[0,1,0]]",216,1,"rows=(0, 1, 0); channels=(0, 0, 1); cols=(0, 1, 0)","(0, 1, 0)","(0, 0, 1)","(0, 1, 0)"
LLL,66,274,"LLL[L[0,0,0],L[1,0,1],L[0,1,1]]",216,1,"rows=(0, 1, 0); channels=(0, 0, 1); cols=(0, 1, 1)","(0, 1, 0)","(0, 0, 1)","(0, 1, 1)"
LLL,67,275,"LLL[L[0,0,0],L[1,0,1],L[0,1,2]]",216,1,"rows=(0, 1, 0); channels=(0, 0, 1); cols=(0, 1, 2)","(0, 1, 0)","(0, 0, 1)","(0, 1, 2)"
LLL,68,279,"LLL[L[0,0,0],L[1,0,1],L[1,0,0]]",108,2,"rows=(0, 1, 1); channels=(0, 0, 0); cols=(0, 1, 0)","(0, 1, 1)","(0, 0, 0)","(0, 1, 0)"
LLL,69,280,"LLL[L[0,0,0],L[1,0,1],L[1,0,1]]",108,2,"rows=(0, 1, 1); channels=(0, 0, 0); cols=(0, 1, 1)","(0, 1, 1)","(0, 0, 0)","(0, 1, 1)"
LLL,70,281,"LLL[L[0,0,0],L[1,0,1],L[1,0,2]]",108,2,"rows=(0, 1, 1); channels=(0, 0, 0); cols=(0, 1, 2)","(0, 1, 1)","(0, 0, 0)","(0, 1, 2)"
LLL,71,282,"LLL[L[0,0,0],L[1,0,1],L[1,1,0]]",216,1,"rows=(0, 1, 1); channels=(0, 0, 1); cols=(0, 1, 0)","(0, 1, 1)","(0, 0, 1)","(0, 1, 0)"
LLL,72,283,"LLL[L[0,0,0],L[1,0,1],L[1,1,1]]",216,1,"rows=(0, 1, 1); channels=(0, 0, 1); cols=(0, 1, 1)","(0, 1, 1)","(0, 0, 1)","(0, 1, 1)"
LLL,73,284,"LLL[L[0,0,0],L[1,0,1],L[1,1,2]]",216,1,"rows=(0, 1, 1); channels=(0, 0, 1); cols=(0, 1, 2)","(0, 1, 1)","(0, 0, 1)","(0, 1, 2)"
LLL,74,288,"LLL[L[0,0,0],L[1,0,1],L[2,0,0]]",108,2,"rows=(0, 1, 2); channels=(0, 0, 0); cols=(0, 1, 0)","(0, 1, 2)","(0, 0, 0)","(0, 1, 0)"
LLL,75,289,"LLL[L[0,0,0],L[1,0,1],L[2,0,1]]",108,2,"rows=(0, 1, 2); channels=(0, 0, 0); cols=(0, 1, 1)","(0, 1, 2)","(0, 0, 0)","(0, 1, 1)"
LLL,76,290,"LLL[L[0,0,0],L[1,0,1],L[2,0,2]]",108,2,"rows=(0, 1, 2); channels=(0, 0, 0); cols=(0, 1, 2)","(0, 1, 2)","(0, 0, 0)","(0, 1, 2)"
LLL,77,291,"LLL[L[0,0,0],L[1,0,1],L[2,1,0]]",216,1,"rows=(0, 1, 2); channels=(0, 0, 1); cols=(0, 1, 0)","(0, 1, 2)","(0, 0, 1)","(0, 1, 0)"
LLL,78,292,"LLL[L[0,0,0],L[1,0,1],L[2,1,1]]",216,1,"rows=(0, 1, 2); channels=(0, 0, 1); cols=(0, 1, 1)","(0, 1, 2)","(0, 0, 1)","(0, 1, 1)"
LLL,79,293,"LLL[L[0,0,0],L[1,0,1],L[2,1,2]]",216,1,"rows=(0, 1, 2); channels=(0, 0, 1); cols=(0, 1, 2)","(0, 1, 2)","(0, 0, 1)","(0, 1, 2)"
LLL,80,324,"LLL[L[0,0,0],L[1,1,0],L[0,0,0]]",108,2,"rows=(0, 1, 0); channels=(0, 1, 0); cols=(0, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 0, 0)"
LLL,81,325,"LLL[L[0,0,0],L[1,1,0],L[0,0,1]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 0); cols=(0, 0, 1)","(0, 1, 0)","(0, 1, 0)","(0, 0, 1)"
LLL,82,327,"LLL[L[0,0,0],L[1,1,0],L[0,1,0]]",108,2,"rows=(0, 1, 0); channels=(0, 1, 1); cols=(0, 0, 0)","(0, 1, 0)","(0, 1, 1)","(0, 0, 0)"
LLL,83,328,"LLL[L[0,0,0],L[1,1,0],L[0,1,1]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 1); cols=(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(0, 0, 1)"
LLL,84,330,"LLL[L[0,0,0],L[1,1,0],L[0,2,0]]",108,2,"rows=(0, 1, 0); channels=(0, 1, 2); cols=(0, 0, 0)","(0, 1, 0)","(0, 1, 2)","(0, 0, 0)"
LLL,85,331,"LLL[L[0,0,0],L[1,1,0],L[0,2,1]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 2); cols=(0, 0, 1)","(0, 1, 0)","(0, 1, 2)","(0, 0, 1)"
LLL,86,333,"LLL[L[0,0,0],L[1,1,0],L[1,0,0]]",108,2,"rows=(0, 1, 1); channels=(0, 1, 0); cols=(0, 0, 0)","(0, 1, 1)","(0, 1, 0)","(0, 0, 0)"
LLL,87,334,"LLL[L[0,0,0],L[1,1,0],L[1,0,1]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 0); cols=(0, 0, 1)","(0, 1, 1)","(0, 1, 0)","(0, 0, 1)"
LLL,88,336,"LLL[L[0,0,0],L[1,1,0],L[1,1,0]]",108,2,"rows=(0, 1, 1); channels=(0, 1, 1); cols=(0, 0, 0)","(0, 1, 1)","(0, 1, 1)","(0, 0, 0)"
LLL,89,337,"LLL[L[0,0,0],L[1,1,0],L[1,1,1]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 1); cols=(0, 0, 1)","(0, 1, 1)","(0, 1, 1)","(0, 0, 1)"
LLL,90,339,"LLL[L[0,0,0],L[1,1,0],L[1,2,0]]",108,2,"rows=(0, 1, 1); channels=(0, 1, 2); cols=(0, 0, 0)","(0, 1, 1)","(0, 1, 2)","(0, 0, 0)"
LLL,91,340,"LLL[L[0,0,0],L[1,1,0],L[1,2,1]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 2); cols=(0, 0, 1)","(0, 1, 1)","(0, 1, 2)","(0, 0, 1)"
LLL,92,342,"LLL[L[0,0,0],L[1,1,0],L[2,0,0]]",108,2,"rows=(0, 1, 2); channels=(0, 1, 0); cols=(0, 0, 0)","(0, 1, 2)","(0, 1, 0)","(0, 0, 0)"
LLL,93,343,"LLL[L[0,0,0],L[1,1,0],L[2,0,1]]",216,1,"rows=(0, 1, 2); channels=(0, 1, 0); cols=(0, 0, 1)","(0, 1, 2)","(0, 1, 0)","(0, 0, 1)"
LLL,94,345,"LLL[L[0,0,0],L[1,1,0],L[2,1,0]]",108,2,"rows=(0, 1, 2); channels=(0, 1, 1); cols=(0, 0, 0)","(0, 1, 2)","(0, 1, 1)","(0, 0, 0)"
LLL,95,346,"LLL[L[0,0,0],L[1,1,0],L[2,1,1]]",216,1,"rows=(0, 1, 2); channels=(0, 1, 1); cols=(0, 0, 1)","(0, 1, 2)","(0, 1, 1)","(0, 0, 1)"
LLL,96,348,"LLL[L[0,0,0],L[1,1,0],L[2,2,0]]",108,2,"rows=(0, 1, 2); channels=(0, 1, 2); cols=(0, 0, 0)","(0, 1, 2)","(0, 1, 2)","(0, 0, 0)"
LLL,97,349,"LLL[L[0,0,0],L[1,1,0],L[2,2,1]]",216,1,"rows=(0, 1, 2); channels=(0, 1, 2); cols=(0, 0, 1)","(0, 1, 2)","(0, 1, 2)","(0, 0, 1)"
LLL,98,351,"LLL[L[0,0,0],L[1,1,1],L[0,0,0]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 0); cols=(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
LLL,99,352,"LLL[L[0,0,0],L[1,1,1],L[0,0,1]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 0); cols=(0, 1, 1)","(0, 1, 0)","(0, 1, 0)","(0, 1, 1)"
LLL,100,353,"LLL[L[0,0,0],L[1,1,1],L[0,0,2]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 0); cols=(0, 1, 2)","(0, 1, 0)","(0, 1, 0)","(0, 1, 2)"
LLL,101,354,"LLL[L[0,0,0],L[1,1,1],L[0,1,0]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 1); cols=(0, 1, 0)","(0, 1, 0)","(0, 1, 1)","(0, 1, 0)"
LLL,102,355,"LLL[L[0,0,0],L[1,1,1],L[0,1,1]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 1); cols=(0, 1, 1)","(0, 1, 0)","(0, 1, 1)","(0, 1, 1)"
LLL,103,356,"LLL[L[0,0,0],L[1,1,1],L[0,1,2]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 1); cols=(0, 1, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)"
LLL,104,357,"LLL[L[0,0,0],L[1,1,1],L[0,2,0]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 2); cols=(0, 1, 0)","(0, 1, 0)","(0, 1, 2)","(0, 1, 0)"
