base_label,step_idx,branch,sample_index,eps,step_norm,delta_norm,dot_lambda_norm,base_kappa_ker,kappa_ker_state,honest_defect_l2,tensor_max_abs_residual,tensor_loss,restricted_rank,kernel_dim,is_regular
alphatensor_rank23_transpose,0,wildcard,17,0.003,3.3418981670559416,3.118410348005312,1.2015823985167433,0.6245923009701738,0.622946801787674,0.6229853451960218,2.7383117820181722e-15,3.378923858849201e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,17,0.01,3.3418981670559416,3.118410348005312,1.2015823985167433,0.6245923009701738,0.6190827869400148,0.6195119349961624,3.3831680938002243e-15,3.4305447177388217e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,17,0.03,3.3418981670559416,3.118410348005312,1.2015823985167433,0.6245923009701738,0.6078725630383089,0.6117542207285237,3.1086244689504383e-15,3.226139909972956e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,17,0.05,3.3418981670559416,3.118410348005312,1.2015823985167433,0.6245923009701738,0.5964466011379169,0.6072660609469325,2.3414447507416038e-15,2.146966054295525e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,18,0.001,3.169580382694229,2.9706595411727,1.1051794844276184,0.6245923009701738,0.6240750073463934,0.6240779812022133,2.0302929386360157e-15,1.5932703483662019e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,18,0.003,3.169580382694229,2.9706595411727,1.1051794844276184,0.6245923009701738,0.6230384347739945,0.6230652227814033,2.1920967603396066e-15,1.3377368497439292e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,18,0.01,3.169580382694229,2.9706595411727,1.1051794844276184,0.6245923009701738,0.6193901541915902,0.6196887047329375,2.220229434052697e-15,1.1848294199266485e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,18,0.03,3.169580382694229,2.9706595411727,1.1051794844276184,0.6245923009701738,0.608804845507591,0.6115145802661046,2.55351295663786e-15,1.87729362203396e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,18,0.05,3.169580382694229,2.9706595411727,1.1051794844276184,0.6245923009701738,0.5980032783504581,0.6055888551422767,2.3589951676323018e-15,1.7472850185344035e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,19,0.001,3.356250257394019,3.1591044435485016,1.1333467717382568,0.6245923009701738,0.6239888772412997,0.6239968130721264,2.9596835797781172e-15,2.9789353789685933e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,19,0.003,3.356250257394019,3.1591044435485016,1.1333467717382568,0.6245923009701738,0.6227781744990285,0.6228496918500805,3.4071865989192896e-15,2.7624189104610026e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,19,0.01,3.356250257394019,3.1591044435485016,1.1333467717382568,0.6245923009701738,0.6185016343583754,0.6192997594675534,2.8339134286658888e-15,2.994453885468702e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,19,0.03,3.356250257394019,3.1591044435485016,1.1333467717382568,0.6245923009701738,0.605979817611326,0.6132358456158951,3.587051792862687e-15,3.643970577605648e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,19,0.05,3.356250257394019,3.1591044435485016,1.1333467717382568,0.6245923009701738,0.593075511361177,0.613359070043275,1.7763568394002505e-15,1.9327328121066637e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,20,0.001,3.8434962261373764,3.6612215577820413,1.1695810981562151,0.6245923009701738,0.6239850732958666,0.6239895299447474,3.9968028886505635e-15,4.586479904921363e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,20,0.003,3.8434962261373764,3.6612215577820413,1.1695810981562151,0.6245923009701738,0.6227643360802733,0.6228044437832748,3.1086244689504383e-15,3.0794411727167933e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,20,0.01,3.8434962261373764,3.6612215577820413,1.1695810981562151,0.6245923009701738,0.6184296246077156,0.6188753680813682,2.4424906541753444e-15,2.4927901807319442e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,20,0.03,3.8434962261373764,3.6612215577820413,1.1695810981562151,0.6245923009701738,0.6055958174661528,0.609624614033142,3.3306690738754696e-15,2.4584161135884154e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,20,0.05,3.8434962261373764,3.6612215577820413,1.1695810981562151,0.6245923009701738,0.5922574003764817,0.6035536730788497,5.050191031341545e-15,5.924155234184771e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,21,0.001,4.187423467673157,3.7992892473911364,1.7606579770864035,0.6245923009701738,0.624002980480465,0.6240076425315056,3.4416913763379853e-15,4.473020019390823e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,21,0.003,4.187423467673157,3.7992892473911364,1.7606579770864035,0.6245923009701738,0.6228182715003843,0.6228601827322318,2.473059998491794e-15,2.489043657974998e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,21,0.01,4.187423467673157,3.7992892473911364,1.7606579770864035,0.6245923009701738,0.6186113497265503,0.6190752255167015,3.81862603960668e-15,5.497332904651485e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,21,0.03,4.187423467673157,3.7992892473911364,1.7606579770864035,0.6245923009701738,0.6061462007085872,0.6102773830453998,2.9016490034133277e-15,1.7600720514788692e-28,14,14,1
