base_label,family,trial_index,noise_scale,R,rank_H_numeric,rank_HDelta_numeric,channel0_identity_max_abs,channel1_identity_max_abs,channel2_identity_max_abs,pair01_live_gap_max_abs,pair12_live_gap_max_abs,pair02_live_gap_max_abs,tensor_max_abs_residual,tensor_loss
standard_rank27,pair_equal_01,1,0.0,27,9,18,0.5000000000000002,0.5000000000000002,0.0,0.0,1.0,1.0,0.5000000000000002,9.0
standard_rank27,pair_equal_01,2,0.02,27,9,27,0.502655699446995,0.502655699446995,0.0030605219053737587,0.0,1.025956220139945,1.025956220139945,0.502655699446995,9.03155871422961
standard_rank27,pair_equal_01,3,0.02,27,9,27,0.501407855176017,0.501407855176017,0.0016621756668069368,0.0,1.0297123550117468,1.0297123550117468,0.501407855176017,9.01812541215688
standard_rank27,pair_equal_01,4,0.02,27,9,27,0.5014321825832777,0.5014321825832777,0.003454883985076096,0.0,1.018960756579237,1.018960756579237,0.5014321825832777,9.023336640207786
standard_rank27,pair_equal_01,5,0.02,27,9,27,0.5023595290020573,0.5023595290020573,0.0018083849699885857,0.0,1.0441933210463443,1.0441933210463443,0.5023595290020573,9.021983331606684
standard_rank27,pair_equal_01,6,0.02,27,9,27,0.5015631328380389,0.5015631328380389,0.002532317234936697,0.0,1.0195829427854213,1.0195829427854213,0.5015631328380389,9.0244343167324
standard_rank27,pair_equal_01,7,0.02,27,9,27,0.5013269926161443,0.5013269926161443,0.002530915403028966,0.0,1.0652207366144062,1.0652207366144062,0.5013269926161443,9.019217730538937
standard_rank27,pair_equal_01,8,0.02,27,9,27,0.5013254410704437,0.5013254410704437,0.0023761320936273034,0.0,0.9844521261760479,0.9844521261760479,0.5013254410704437,9.023749338413548
standard_rank27,pair_equal_01,9,0.02,27,9,27,0.5010082390974382,0.5010082390974382,0.0036335091063831593,0.0,1.0712398757247956,1.0712398757247956,0.5010082390974382,9.014709041233175
standard_rank27,pair_equal_01,10,0.02,27,9,27,0.5016050674184831,0.5016050674184831,0.004032149003451058,0.0,1.0927749416172459,1.0927749416172459,0.5016050674184831,9.02215692400981
standard_rank27,pair_equal_01,11,0.02,27,9,27,0.5009486791011335,0.5009486791011335,0.004143077772347681,0.0,1.0319797047637616,1.0319797047637616,0.5009486791011335,9.021338794139094
standard_rank27,pair_equal_01,12,0.02,27,9,27,0.5012461552213139,0.5012461552213139,0.0027098686466692223,0.0,1.0317088771232015,1.0317088771232015,0.5012461552213138,9.022880857156986
standard_rank27,pair_equal_01,13,0.02,27,9,27,0.5012334142810613,0.5012334142810613,0.0029483566377896953,0.0,1.0171290014911807,1.0171290014911807,0.5012334142810613,9.025730856315269
standard_rank27,pair_equal_01,14,0.02,27,9,27,0.5014092996359789,0.5014092996359789,0.001651364737392358,0.0,1.0496720929311714,1.0496720929311714,0.5014092996359789,9.016585273298393
standard_rank27,pair_equal_01,15,0.02,27,9,27,0.5019333398747747,0.5019333398747747,0.0047488505242603285,0.0,1.0338625224915752,1.0338625224915752,0.5019333398747747,9.025700813038151
standard_rank27,pair_equal_01,16,0.02,27,9,27,0.5023411562662289,0.5023411562662289,0.0029589611085154566,0.0,1.0603475895070351,1.0603475895070351,0.502341156266229,9.024788746357718
standard_rank27,pair_equal_01,17,0.02,27,9,27,0.5006499376013336,0.5006499376013336,0.00148925150748358,0.0,1.0518730485665408,1.0518730485665408,0.5006499376013336,9.013956686545644
