decomposition_id,source,source_detail,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric,projection_nonzero_count_numeric,projection_unique_nonzero_coefficients_numeric,projection_allclose_to_integer_numeric,rank_Nuisance_numeric,rank_Sigma_numeric,quotient_gain_numeric,max_abs_residual,loss_value,rank_H_exact,rank_Delta_exact,rank_HDelta_exact,rank_Nuisance_exact,rank_Sigma_exact,quotient_gain_exact,eta_nullity_exact,delta_in_eta_exact,projection_nonzero_count,projection_unique_nonzero_coefficients,projection_integral,projection_support_min,projection_support_max
sym_180,symmetry_orbit,"action_id=180;((2, 1, 0), (0, 1, 2), (0, 1, 2))",14,10,14,True,2.6645352591003757e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,51,"['-1', '-2', '1']",True,0,4
sym_181,symmetry_orbit,"action_id=181;((2, 1, 0), (0, 1, 2), (0, 2, 1))",14,10,14,True,2.1094237467877974e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,4
sym_182,symmetry_orbit,"action_id=182;((2, 1, 0), (0, 1, 2), (1, 0, 2))",14,10,14,True,1.5543122344752192e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,51,"['-1', '-2', '1']",True,0,4
sym_183,symmetry_orbit,"action_id=183;((2, 1, 0), (0, 1, 2), (1, 2, 0))",14,10,14,True,1.2010433107307728e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,4
sym_184,symmetry_orbit,"action_id=184;((2, 1, 0), (0, 1, 2), (2, 0, 1))",14,10,14,True,1.2165043534938268e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,51,"['-1', '-2', '1']",True,0,4
sym_185,symmetry_orbit,"action_id=185;((2, 1, 0), (0, 1, 2), (2, 1, 0))",14,10,14,True,1.2459691754633124e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,4
sym_186,symmetry_orbit,"action_id=186;((2, 1, 0), (0, 2, 1), (0, 1, 2))",14,10,14,True,1.2212453270876722e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,64,"['-1', '-2', '1']",True,0,6
sym_187,symmetry_orbit,"action_id=187;((2, 1, 0), (0, 2, 1), (0, 2, 1))",14,10,14,True,1.9217294095426345e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,64,"['-1', '-2', '1']",True,0,6
sym_188,symmetry_orbit,"action_id=188;((2, 1, 0), (0, 2, 1), (1, 0, 2))",14,10,14,True,5.176414852314792e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,64,"['-1', '-2', '1']",True,0,6
sym_189,symmetry_orbit,"action_id=189;((2, 1, 0), (0, 2, 1), (1, 2, 0))",14,10,14,True,2.886579864025407e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,64,"['-1', '-2', '1']",True,0,6
sym_190,symmetry_orbit,"action_id=190;((2, 1, 0), (0, 2, 1), (2, 0, 1))",14,10,14,True,4.427014310692812e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,64,"['-1', '-2', '1']",True,0,6
sym_191,symmetry_orbit,"action_id=191;((2, 1, 0), (0, 2, 1), (2, 1, 0))",14,10,14,True,3.6637359812630166e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,64,"['-1', '-2', '1']",True,0,6
sym_192,symmetry_orbit,"action_id=192;((2, 1, 0), (1, 0, 2), (0, 1, 2))",14,10,14,True,1.2212453270876722e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,54,"['-1', '1', '2']",True,0,6
sym_193,symmetry_orbit,"action_id=193;((2, 1, 0), (1, 0, 2), (0, 2, 1))",14,10,14,True,1.9984014443252818e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,51,"['-1', '1', '2']",True,0,5
sym_194,symmetry_orbit,"action_id=194;((2, 1, 0), (1, 0, 2), (1, 0, 2))",14,10,14,True,2.159003634965928e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,54,"['-1', '1', '2']",True,0,6
sym_195,symmetry_orbit,"action_id=195;((2, 1, 0), (1, 0, 2), (1, 2, 0))",14,10,14,True,2.4424906541753444e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,51,"['-1', '1', '2']",True,0,5
sym_196,symmetry_orbit,"action_id=196;((2, 1, 0), (1, 0, 2), (2, 0, 1))",14,10,14,True,2.6645352591003757e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,54,"['-1', '1', '2']",True,0,6
sym_197,symmetry_orbit,"action_id=197;((2, 1, 0), (1, 0, 2), (2, 1, 0))",14,10,14,True,1.5543122344752192e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,51,"['-1', '1', '2']",True,0,5
sym_198,symmetry_orbit,"action_id=198;((2, 1, 0), (1, 2, 0), (0, 1, 2))",14,10,14,True,1.9984014443252818e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,3
