base_label,trial_index,R,annihilator_projection_residual,rank_H_numeric,restricted_rank_numeric,functional_defect_dim_numeric,lambda_kernel_distance,tensor_max_abs_residual,tensor_loss
alphatensor_rank23_transpose,20,23,2.9698465908722937e-15,14,14,0,1.200111898490839,1.06948421320406,5.258177990922132
alphatensor_rank23_transpose,21,23,1.536964999715451e-14,14,14,0,1.181989543245421,0.883014900149785,7.752873887023361
alphatensor_rank23_transpose,22,23,4.673345044281518e-15,14,14,0,1.1194031783788319,1.0115289904337033,9.55514385759866
alphatensor_rank23_transpose,23,23,3.462508058049707e-15,14,14,0,1.182065736988515,1.0343686045976397,6.678463138799881
alphatensor_rank23_transpose,24,23,3.028827189055505e-15,14,14,0,1.192778843883641,1.027741903688074,10.047594423695559
alphatensor_rank23_transpose,25,23,1.2358170042858774e-14,14,14,0,1.2746892451771938,1.1201366513474482,8.575363867347045
alphatensor_rank23_transpose,26,23,8.527900607901984e-15,14,14,0,1.2596068550916295,0.9861367970078249,9.31179157454341
alphatensor_rank23_transpose,27,23,5.0411064211886014e-15,14,14,0,1.0981958050203435,1.0855796163612497,10.146949288000258
alphatensor_rank23_transpose,28,23,2.987193825632062e-15,14,14,0,1.2675995084946,1.0413660934589486,8.326238381572622
alphatensor_rank23_transpose,29,23,1.0311196341206141e-14,14,14,0,1.1029337088482305,1.04267006782985,9.589784906051243
alphatensor_rank23_transpose,30,23,5.5164206536062466e-15,14,14,0,1.1830432425703004,1.0533225920251053,9.051072082870705
alphatensor_rank23_transpose,31,23,2.4721752422962595e-12,14,14,0,1.0697278831620565,1.0275973256002515,9.40897470588919
alphatensor_rank23_transpose,32,23,2.3037127760972e-15,14,14,0,1.2260376234678028,1.0062826485064384,10.707375384341553
alphatensor_rank23_transpose,33,23,8.479328350574633e-15,14,14,0,1.1796741227409095,0.9893015501131,8.439621952126982
alphatensor_rank23_transpose,34,23,8.576472865229334e-15,14,14,0,1.25954410097471,1.0279960355611641,8.907010526979537
alphatensor_rank23_transpose,35,23,1.867950238931826e-13,14,14,0,1.1590268710559057,1.0487681154800794,7.874964063994465
alphatensor_rank23_transpose,36,23,6.841749389252527e-15,14,14,0,1.2366429549690525,1.0024258716283327,8.487465588877761
alphatensor_rank23_transpose,37,23,3.774758283725532e-15,14,14,0,1.3284151896878786,0.6846333879172355,4.601310649297142
alphatensor_rank23_transpose,38,23,1.0661610483353456e-14,14,14,0,1.3003358981830486,1.0447600666914831,9.059575742335287
alphatensor_rank23_transpose,39,23,3.566591466608315e-15,14,14,0,1.2629565658982762,1.0396954333488306,9.64338120193228
alphatensor_rank23_transpose,40,23,5.995204332975845e-15,14,14,0,1.1398173258085524,0.7637484561468998,5.576134542354323
alphatensor_rank23_transpose,41,23,1.8105308918769936e-14,14,14,0,1.1192212154662426,1.0908310690944052,9.602049191112314
alphatensor_rank23_transpose,42,23,5.329070518200751e-15,14,14,0,1.2582472649980083,1.0771434643006872,6.155831749458562
alphatensor_rank23_transpose,43,23,5.9119376061289586e-15,14,14,0,1.3013957181286975,1.0471835757900698,5.83747793458636
alphatensor_rank23_transpose,44,23,5.329070518200751e-15,14,14,0,1.1284185715389687,1.0344494390129104,10.675330511078375
alphatensor_rank23_transpose,45,23,1.6930901125533637e-15,14,14,0,1.2368208765136828,0.9072032967170975,4.512191102671119
alphatensor_rank23_transpose,46,23,2.345346139520643e-15,14,14,0,1.151691655482366,1.0282196794897236,7.5073803200710625
alphatensor_rank23_transpose,47,23,2.67841304690819e-15,14,14,0,1.1385671746796522,1.0589420615764908,6.289917190141043
alphatensor_rank23_transpose,48,23,1.4960255256823984e-14,14,14,0,1.2276804207504288,1.0346124333152031,7.596032416702277
alphatensor_rank23_transpose,49,23,1.4065137943219952e-14,14,14,0,1.3041030382802188,1.0198632511597008,6.138224447009944
alphatensor_rank23_transpose,50,23,1.157754447866921e-14,14,14,0,1.2431593077093939,1.0217758869294165,7.6811555706712875
alphatensor_rank23_transpose,51,23,8.88872309090516e-15,14,14,0,0.8983066106649265,1.0464971427786374,7.218260738730146
alphatensor_rank23_transpose,52,23,7.113667294111892e-15,14,14,0,1.2562382169225907,1.04175802125999,11.067393411729356
alphatensor_rank23_transpose,53,23,1.2823075934420558e-14,14,14,0,1.345555067358628,0.752269127930036,3.4527947180704857
alphatensor_rank23_transpose,54,23,7.174816296640074e-15,14,14,0,1.3348193048091663,1.0390098179062128,7.916341487453477
alphatensor_rank23_transpose,55,23,7.438494264988549e-15,14,14,0,1.2034972223095783,1.0858662209924808,8.669018438918
alphatensor_rank23_transpose,56,23,3.5704078582554644e-14,14,14,0,1.2728360242238896,1.0096108470145186,7.898312906544143
alphatensor_rank23_transpose,57,23,2.9247437804968968e-15,14,14,0,1.1687623860988972,1.0621319052830906,4.950936666352241
alphatensor_rank23_transpose,58,23,7.757683384568281e-15,14,14,0,1.1384204596667455,1.0618020576970344,10.49336224603497
alphatensor_rank23_transpose,59,23,1.2143411276532845e-13,14,14,0,0.9686232274191833,1.032299997864579,8.929153800336373
alphatensor_rank23_transpose,60,23,4.690692279041286e-15,14,14,0,1.234467502076602,1.0933479015764842,8.803734589612235
alphatensor_rank23_transpose,61,23,1.004803878990046e-13,14,14,0,1.1558528019255487,1.008335373626217,7.354162237403425
alphatensor_rank23_transpose,62,23,2.0018708912772354e-15,14,14,0,1.116274193185069,1.0503577278163179,7.430202893910511
alphatensor_rank23_transpose,63,23,8.139322549283179e-15,14,14,0,1.2460620678427503,1.000023003743034,7.081460780384538
alphatensor_rank23_transpose,64,23,3.1068897454744615e-15,14,14,0,1.242839785346583,0.9070763293168053,4.891375691370369
alphatensor_rank23_transpose,65,23,2.456368441983159e-15,14,14,0,1.3258510774843957,1.0309619277836126,7.266912362637063
alphatensor_rank23_transpose,66,23,3.430589146091734e-14,14,14,0,1.3336954834666945,1.0335532034517607,7.423737447918255
alphatensor_rank23_transpose,67,23,3.752206878537834e-15,14,14,0,1.2878005643718364,1.0866922300631814,8.734092249462043
alphatensor_rank23_transpose,68,23,2.7438121219525158e-14,14,14,0,1.120259468033769,1.0787218361736703,8.160117278413793
alphatensor_rank23_transpose,69,23,8.588615929561172e-15,14,14,0,1.2624617169802301,1.0388591904238846,11.207585349974272
