trial_index,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric
486,18,23,23,False,1.9401234503361828
487,18,23,23,False,4.083922117898681
488,18,23,23,False,1.7714667128038892
489,18,23,23,False,1.7321646044538563
490,18,23,23,False,2.041832082072138
491,18,23,23,False,2.3523286996908563
492,18,23,23,False,1.651954969831803
493,18,23,23,False,2.064379357763544
494,18,23,23,False,1.825867884642154
495,18,23,23,False,2.01555508660325
496,18,23,23,False,2.2863915163320696
497,18,23,23,False,1.9030348703436855
498,18,23,23,False,2.1559017384859924
499,18,23,23,False,2.161348512331923
500,18,23,23,False,2.711709599970533
501,18,23,23,False,1.4831537655813867
502,18,23,23,False,2.3644036321722464
503,18,23,23,False,1.9474531355339688
504,18,23,23,False,1.894298463718928
505,18,23,23,False,1.4416477826960246
506,18,23,23,False,2.7657620118217174
507,18,23,23,False,1.8077440565542582
508,18,23,23,False,2.2036949700074633
509,18,23,23,False,2.4726531193075685
510,18,23,23,False,1.637244720451099
511,18,23,23,False,1.890902845767664
512,18,23,23,False,2.0831173141544728
513,18,23,23,False,3.1368450047201386
514,18,23,23,False,1.9582230183097793
515,18,23,23,False,2.723510537106973
516,18,23,23,False,1.948427237989233
517,18,23,23,False,2.438029483515494
518,18,23,23,False,2.360216484629293
519,18,23,23,False,1.7480488851492024
520,18,23,23,False,3.2386513420155367
521,18,23,23,False,1.5120495907928264
522,18,23,23,False,3.1010888198386395
523,18,23,23,False,2.09057593494719
524,18,23,23,False,1.831028234624556
525,18,23,23,False,1.8709414416977341
526,18,23,23,False,1.8795373764150283
527,18,23,23,False,2.3041602075562526
528,18,23,23,False,2.3140436592529134
529,18,23,23,False,2.187461167947054
530,18,23,23,False,2.2045230363150425
531,18,23,23,False,1.5144038345183297
532,18,23,23,False,2.013353422300148
533,18,23,23,False,2.2604375949173012
534,18,23,23,False,1.9801866293637278
535,18,23,23,False,1.397845612055695
536,18,23,23,False,1.8440920213781407
537,18,23,23,False,2.091928332396558
538,18,23,23,False,2.8706396044608997
539,18,23,23,False,2.0405875187588385
